# Renewables.ninja Weather (Point API) - -22.912, -43.231 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.912161949999998", "lon": "-43.23118606002972", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2020-12-31 21:00,25.155,0.068,1.153,0,0,0.528
2021-01-01 01:00,2020-12-31 22:00,24.651,0.079,1.154,0,0,0.747
2021-01-01 02:00,2020-12-31 23:00,24.255,0.079,1.154,0,0,0.781
2021-01-01 03:00,2021-01-01 00:00,24.217,0.081,1.153,0,0,0.737
2021-01-01 04:00,2021-01-01 01:00,24.216,0.078,1.153,0,0,0.783
2021-01-01 05:00,2021-01-01 02:00,24.143,0.083,1.152,0,0,0.824
2021-01-01 06:00,2021-01-01 03:00,24.074,0.092,1.152,0,0,0.759
2021-01-01 07:00,2021-01-01 04:00,23.999,0.072,1.153,0,0,0.645
2021-01-01 08:00,2021-01-01 05:00,24.035,0.057,1.153,26.983,101.292,0.661
2021-01-01 09:00,2021-01-01 06:00,24.761,0.059,1.154,142.964,405.925,0.674
2021-01-01 10:00,2021-01-01 07:00,25.661,0.070,1.151,289.088,703.307,0.685
2021-01-01 11:00,2021-01-01 08:00,26.514,0.048,1.149,424.215,967.280,0.689
2021-01-01 12:00,2021-01-01 09:00,27.246,0.021,1.147,572.515,1180.050,0.658
2021-01-01 13:00,2021-01-01 10:00,27.895,0.032,1.144,727.058,1327.078,0.764
2021-01-01 14:00,2021-01-01 11:00,28.203,0.053,1.143,772.849,1398.245,0.826
2021-01-01 15:00,2021-01-01 12:00,28.225,0.085,1.141,734.867,1388.340,0.887
2021-01-01 16:00,2021-01-01 13:00,27.959,0.146,1.142,628.677,1298.847,0.918
2021-01-01 17:00,2021-01-01 14:00,27.302,0.328,1.145,484.277,1135.268,0.925
2021-01-01 18:00,2021-01-01 15:00,26.195,0.856,1.149,293.684,908.977,0.923
2021-01-01 19:00,2021-01-01 16:00,25.139,1.421,1.154,145.261,635.269,0.919
2021-01-01 20:00,2021-01-01 17:00,24.428,1.555,1.156,44.822,332.860,0.931
2021-01-01 21:00,2021-01-01 18:00,24.124,1.433,1.157,3.443,50.478,0.943
2021-01-01 22:00,2021-01-01 19:00,24.037,1.287,1.158,0,0,0.947
2021-01-01 23:00,2021-01-01 20:00,23.933,1.072,1.159,0,0,0.939
2021-01-02 00:00,2021-01-01 21:00,23.789,0.644,1.160,0,0,0.916
2021-01-02 01:00,2021-01-01 22:00,23.764,0.327,1.160,0,0,0.924
2021-01-02 02:00,2021-01-01 23:00,23.606,0.201,1.159,0,0,0.910
2021-01-02 03:00,2021-01-02 00:00,23.426,0.132,1.159,0,0,0.881
2021-01-02 04:00,2021-01-02 01:00,23.256,0.087,1.159,0,0,0.855
2021-01-02 05:00,2021-01-02 02:00,23.138,0.115,1.159,0,0,0.836
2021-01-02 06:00,2021-01-02 03:00,23.082,0.176,1.159,0,0,0.806
2021-01-02 07:00,2021-01-02 04:00,22.930,0.223,1.160,0,0,0.787
2021-01-02 08:00,2021-01-02 05:00,22.990,0.252,1.160,22.751,100.645,0.659
2021-01-02 09:00,2021-01-02 06:00,23.586,0.244,1.160,162.665,405.318,0.505
2021-01-02 10:00,2021-01-02 07:00,24.176,0.253,1.160,333.651,702.807,0.556
2021-01-02 11:00,2021-01-02 08:00,24.862,0.243,1.158,400.075,967.030,0.569
2021-01-02 12:00,2021-01-02 09:00,25.306,0.250,1.157,550.675,1180.050,0.422
2021-01-02 13:00,2021-01-02 10:00,25.915,0.268,1.154,741.663,1327.078,0.345
2021-01-02 14:00,2021-01-02 11:00,26.352,0.401,1.153,847.710,1398.245,0.372
2021-01-02 15:00,2021-01-02 12:00,26.116,0.681,1.153,722.626,1388.340,0.524
2021-01-02 16:00,2021-01-02 13:00,25.521,1.502,1.155,581.084,1298.847,0.702
2021-01-02 17:00,2021-01-02 14:00,24.910,3.577,1.156,459.524,1135.183,0.689
2021-01-02 18:00,2021-01-02 15:00,24.419,3.708,1.157,352.317,908.690,0.675
2021-01-02 19:00,2021-01-02 16:00,23.859,1.937,1.158,214.077,634.769,0.872
2021-01-02 20:00,2021-01-02 17:00,23.344,1.725,1.160,61.314,332.113,0.906
2021-01-02 21:00,2021-01-02 18:00,23.047,1.588,1.161,5.513,49.989,0.921
2021-01-02 22:00,2021-01-02 19:00,22.883,1.834,1.163,0,0,0.923
2021-01-02 23:00,2021-01-02 20:00,22.813,3.426,1.163,0,0,0.949
2021-01-03 00:00,2021-01-02 21:00,22.785,2.742,1.164,0,0,0.955
2021-01-03 01:00,2021-01-02 22:00,22.741,2.769,1.164,0,0,0.955
2021-01-03 02:00,2021-01-02 23:00,22.655,3.338,1.163,0,0,0.946
2021-01-03 03:00,2021-01-03 00:00,22.532,3.664,1.162,0,0,0.930
2021-01-03 04:00,2021-01-03 01:00,22.440,3.534,1.162,0,0,0.925
