# Renewables.ninja Weather (Point API) - -23.063, -43.856 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-23.0626014", "lon": "-43.8555722", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,22.857,0.350,1.164,0,0,0.186
2023-01-01 01:00,2022-12-31 22:00,22.756,0.087,1.164,0,0,0.196
2023-01-01 02:00,2022-12-31 23:00,22.676,0.024,1.164,0,0,0.223
2023-01-01 03:00,2023-01-01 00:00,22.646,0.011,1.163,0,0,0.180
2023-01-01 04:00,2023-01-01 01:00,22.495,0.006,1.163,0,0,0.074
2023-01-01 05:00,2023-01-01 02:00,22.254,0.006,1.163,0,0,0.049
2023-01-01 06:00,2023-01-01 03:00,22.038,0.008,1.164,0,0,0.045
2023-01-01 07:00,2023-01-01 04:00,21.736,0.011,1.166,0,0,0.035
2023-01-01 08:00,2023-01-01 05:00,21.842,0.018,1.167,40.110,92.510,0.051
2023-01-01 09:00,2023-01-01 06:00,22.868,0.035,1.167,228.298,394.691,0.060
2023-01-01 10:00,2023-01-01 07:00,23.906,0.052,1.165,454.002,692.791,0.057
2023-01-01 11:00,2023-01-01 08:00,25.154,0.067,1.160,660.811,958.275,0.072
2023-01-01 12:00,2023-01-01 09:00,26.199,0.025,1.156,815.684,1173.274,0.082
2023-01-01 13:00,2023-01-01 10:00,26.839,0.031,1.153,927.159,1323.166,0.095
2023-01-01 14:00,2023-01-01 11:00,27.043,0.048,1.151,972.954,1397.247,0.118
2023-01-01 15:00,2023-01-01 12:00,26.930,0.060,1.151,935.314,1391.253,0.164
2023-01-01 16:00,2023-01-01 13:00,26.615,0.073,1.152,832.338,1304.907,0.181
2023-01-01 17:00,2023-01-01 14:00,26.212,0.112,1.152,705.071,1144.477,0.236
2023-01-01 18:00,2023-01-01 15:00,25.681,0.133,1.154,512.903,920.493,0.311
2023-01-01 19:00,2023-01-01 16:00,25.114,0.168,1.155,329.041,648.690,0.299
2023-01-01 20:00,2023-01-01 17:00,24.517,0.190,1.157,155.190,347.410,0.339
2023-01-01 21:00,2023-01-01 18:00,23.741,0.195,1.160,15.581,59.295,0.702
2023-01-01 22:00,2023-01-01 19:00,23.186,0.190,1.162,0,0,0.722
2023-01-01 23:00,2023-01-01 20:00,22.957,0.199,1.163,0,0,0.578
2023-01-02 00:00,2023-01-01 21:00,22.931,0.185,1.163,0,0,0.274
2023-01-02 01:00,2023-01-01 22:00,22.985,0.186,1.163,0,0,0.293
2023-01-02 02:00,2023-01-01 23:00,23.073,0.170,1.163,0,0,0.338
2023-01-02 03:00,2023-01-02 00:00,22.962,0.172,1.162,0,0,0.236
2023-01-02 04:00,2023-01-02 01:00,22.655,0.165,1.161,0,0,0.151
2023-01-02 05:00,2023-01-02 02:00,22.578,0.162,1.161,0,0,0.100
2023-01-02 06:00,2023-01-02 03:00,22.348,0.162,1.162,0,0,0.089
2023-01-02 07:00,2023-01-02 04:00,21.888,0.140,1.164,0,0,0.080
2023-01-02 08:00,2023-01-02 05:00,21.729,0.113,1.165,40.083,91.918,0.062
2023-01-02 09:00,2023-01-02 06:00,22.560,0.083,1.166,236.017,394.157,0.056
2023-01-02 10:00,2023-01-02 07:00,23.594,0.065,1.164,469.157,692.317,0.072
2023-01-02 11:00,2023-01-02 08:00,25.061,0.062,1.159,689.992,958.025,0.149
2023-01-02 12:00,2023-01-02 09:00,26.350,0.104,1.153,870.395,1173.222,0.262
2023-01-02 13:00,2023-01-02 10:00,27.348,0.113,1.148,1002.964,1323.166,0.495
2023-01-02 14:00,2023-01-02 11:00,28.127,0.126,1.144,1065.832,1397.247,0.306
2023-01-02 15:00,2023-01-02 12:00,28.665,0.134,1.141,1057.625,1391.253,0.039
2023-01-02 16:00,2023-01-02 13:00,28.792,0.114,1.139,981.953,1304.855,0.052
2023-01-02 17:00,2023-01-02 14:00,28.556,0.099,1.138,837.217,1144.050,0.146
2023-01-02 18:00,2023-01-02 15:00,28.087,0.084,1.138,639.923,920.243,0.584
2023-01-02 19:00,2023-01-02 16:00,27.425,0.065,1.139,405.360,648.190,0.322
2023-01-02 20:00,2023-01-02 17:00,26.907,0.056,1.140,193.961,346.694,0.133
2023-01-02 21:00,2023-01-02 18:00,25.749,0.056,1.142,22.408,58.770,0.379
2023-01-02 22:00,2023-01-02 19:00,25.059,0.057,1.143,0,0,0.192
2023-01-02 23:00,2023-01-02 20:00,24.522,0.055,1.146,0,0,0.378
2023-01-03 00:00,2023-01-02 21:00,24.010,0.060,1.150,0,0,0.788
2023-01-03 01:00,2023-01-02 22:00,23.485,0.072,1.153,0,0,0.932
2023-01-03 02:00,2023-01-02 23:00,22.960,0.101,1.157,0,0,0.941
2023-01-03 03:00,2023-01-03 00:00,22.457,0.121,1.159,0,0,0.937
2023-01-03 04:00,2023-01-03 01:00,22.071,0.104,1.160,0,0,0.936
2023-01-03 05:00,2023-01-03 02:00,21.939,0.061,1.161,0,0,0.951
2023-01-03 06:00,2023-01-03 03:00,21.888,0.039,1.162,0,0,0.962
2023-01-03 07:00,2023-01-03 04:00,21.820,0.016,1.162,0,0,0.959
2023-01-03 08:00,2023-01-03 05:00,22.025,0.007,1.163,22.307,91.263,0.960
2023-01-03 09:00,2023-01-03 06:00,22.644,0.005,1.162,104.946,393.441,0.959
2023-01-03 10:00,2023-01-03 07:00,23.415,0.004,1.159,189.600,691.817,0.948
2023-01-03 11:00,2023-01-03 08:00,24.225,0.008,1.156,313.783,957.712,0.945
2023-01-03 12:00,2023-01-03 09:00,25.387,0.009,1.151,492.567,1172.858,0.801
2023-01-03 13:00,2023-01-03 10:00,26.999,0.015,1.143,725.509,1322.792,0.461
2023-01-03 14:00,2023-01-03 11:00,28.760,0.021,1.134,926.978,1397.247,0.161
2023-01-03 15:00,2023-01-03 12:00,29.996,0.025,1.129,1037.994,1391.253,0.111
2023-01-03 16:00,2023-01-03 13:00,30.485,0.035,1.127,922.030,1304.855,0.655
2023-01-03 17:00,2023-01-03 14:00,30.381,0.038,1.127,685.151,1143.977,0.944
2023-01-03 18:00,2023-01-03 15:00,29.953,0.061,1.128,455.379,919.951,0.930
2023-01-03 19:00,2023-01-03 16:00,29.613,0.068,1.130,236.218,647.664,0.902
2023-01-03 20:00,2023-01-03 17:00,28.613,0.095,1.132,92.181,346.035,0.889
2023-01-03 21:00,2023-01-03 18:00,27.430,0.214,1.136,9.961,58.218,0.933
2023-01-03 22:00,2023-01-03 19:00,26.847,0.581,1.140,0,0,0.964
2023-01-03 23:00,2023-01-03 20:00,26.274,1.281,1.143,0,0,0.975
2023-01-04 00:00,2023-01-03 21:00,25.376,2.232,1.147,0,0,0.982
2023-01-04 01:00,2023-01-03 22:00,24.798,2.970,1.149,0,0,0.982
2023-01-04 02:00,2023-01-03 23:00,24.446,2.417,1.150,0,0,0.976
2023-01-04 03:00,2023-01-04 00:00,24.317,1.258,1.150,0,0,0.967
2023-01-04 04:00,2023-01-04 01:00,24.235,0.505,1.150,0,0,0.952
2023-01-04 05:00,2023-01-04 02:00,23.844,0.143,1.150,0,0,0.910
2023-01-04 06:00,2023-01-04 03:00,23.561,0.049,1.151,0,0,0.871
2023-01-04 07:00,2023-01-04 04:00,23.464,0.025,1.152,0,0,0.830
2023-01-04 08:00,2023-01-04 05:00,23.551,0.013,1.153,30.030,90.577,0.856
2023-01-04 09:00,2023-01-04 06:00,24.295,0.006,1.153,166.237,392.782,0.892
2023-01-04 10:00,2023-01-04 07:00,25.001,0.004,1.150,252.028,691.291,0.929
2023-01-04 11:00,2023-01-04 08:00,26.140,0.007,1.145,377.369,957.456,0.915
2023-01-04 12:00,2023-01-04 09:00,27.341,0.025,1.140,553.948,1172.848,0.880
2023-01-04 13:00,2023-01-04 10:00,28.541,0.035,1.135,776.770,1322.792,0.869
2023-01-04 14:00,2023-01-04 11:00,29.541,0.067,1.130,835.273,1397.247,0.891
2023-01-04 15:00,2023-01-04 12:00,30.035,0.105,1.128,727.534,1391.201,0.877
2023-01-04 16:00,2023-01-04 13:00,29.773,0.141,1.128,498.001,1304.481,0.865
2023-01-04 17:00,2023-01-04 14:00,28.998,0.241,1.131,349.705,1143.925,0.903
2023-01-04 18:00,2023-01-04 15:00,27.941,0.553,1.135,287.818,919.493,0.971
2023-01-04 19:00,2023-01-04 16:00,26.872,1.221,1.140,170.408,647.121,0.975
2023-01-04 20:00,2023-01-04 17:00,25.800,1.894,1.145,65.577,345.178,0.969
2023-01-04 21:00,2023-01-04 18:00,24.801,2.309,1.150,7.952,57.627,0.966
2023-01-04 22:00,2023-01-04 19:00,24.079,2.191,1.154,0,0,0.972
2023-01-04 23:00,2023-01-04 20:00,23.722,1.216,1.156,0,0,0.974
2023-01-05 00:00,2023-01-04 21:00,23.524,0.263,1.157,0,0,0.973
2023-01-05 01:00,2023-01-04 22:00,23.377,0.120,1.158,0,0,0.972
2023-01-05 02:00,2023-01-04 23:00,23.274,0.084,1.158,0,0,0.970
2023-01-05 03:00,2023-01-05 00:00,23.319,0.051,1.157,0,0,0.969
2023-01-05 04:00,2023-01-05 01:00,23.340,0.031,1.157,0,0,0.968
2023-01-05 05:00,2023-01-05 02:00,23.173,0.036,1.156,0,0,0.967
2023-01-05 06:00,2023-01-05 03:00,22.912,0.058,1.157,0,0,0.962
2023-01-05 07:00,2023-01-05 04:00,22.739,0.034,1.159,0,0,0.965
