# Renewables.ninja Weather (Point API) - -23.063, -43.856 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-23.0626014", "lon": "-43.8555722", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2017-01-01", "date_to": "2017-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,26.574,0.169,1.145,0,0,0.888
2017-01-01 01:00,2016-12-31 23:00,26.371,0.170,1.146,0,0,0.872
2017-01-01 02:00,2017-01-01 00:00,26.206,0.178,1.148,0,0,0.879
2017-01-01 03:00,2017-01-01 01:00,25.926,0.187,1.149,0,0,0.890
2017-01-01 04:00,2017-01-01 02:00,25.552,0.148,1.150,0,0,0.910
2017-01-01 05:00,2017-01-01 03:00,25.293,0.119,1.151,0,0,0.913
2017-01-01 06:00,2017-01-01 04:00,25.079,0.067,1.152,0,0,0.893
2017-01-01 07:00,2017-01-01 05:00,24.937,0.027,1.153,0,0,0.800
2017-01-01 08:00,2017-01-01 06:00,25.099,0.016,1.153,16.508,92.202,0.651
2017-01-01 09:00,2017-01-01 07:00,25.782,0.021,1.152,150.283,394.316,0.515
2017-01-01 10:00,2017-01-01 08:00,26.818,0.026,1.149,330.475,692.354,0.656
2017-01-01 11:00,2017-01-01 09:00,28.043,0.026,1.145,525.390,957.962,0.809
2017-01-01 12:00,2017-01-01 10:00,29.186,0.034,1.139,679.519,1172.858,0.793
2017-01-01 13:00,2017-01-01 11:00,30.393,0.031,1.135,801.247,1322.718,0.782
2017-01-01 14:00,2017-01-01 12:00,31.178,0.026,1.131,850.667,1397.247,0.751
2017-01-01 15:00,2017-01-01 13:00,31.048,0.025,1.130,827.126,1390.838,0.662
2017-01-01 16:00,2017-01-01 14:00,30.496,0.040,1.131,725.913,1304.481,0.571
2017-01-01 17:00,2017-01-01 15:00,29.873,0.048,1.133,607.868,1143.977,0.474
2017-01-01 18:00,2017-01-01 16:00,29.078,0.074,1.136,400.736,920.243,0.439
2017-01-01 19:00,2017-01-01 17:00,28.456,0.078,1.138,284.083,648.371,0.400
2017-01-01 20:00,2017-01-01 18:00,27.882,0.084,1.140,125.827,347.035,0.400
2017-01-01 21:00,2017-01-01 19:00,27.225,0.074,1.142,14.086,59.026,0.584
2017-01-01 22:00,2017-01-01 20:00,26.928,0.064,1.143,0,0,0.887
2017-01-01 23:00,2017-01-01 21:00,26.999,0.067,1.144,0,0,0.928
2017-01-02 00:00,2017-01-01 22:00,26.769,0.073,1.145,0,0,0.931
2017-01-02 01:00,2017-01-01 23:00,26.491,0.058,1.145,0,0,0.913
