# Renewables.ninja Weather (Point API) - -22.902, -43.280 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "-22.90173", "lon": "-43.2797093", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2022-12-31 21:00,22.537,0.591,1.164,0,0,0.185
2023-01-01 01:00,2022-12-31 22:00,22.306,0.134,1.165,0,0,0.157
2023-01-01 02:00,2022-12-31 23:00,22.097,0.033,1.165,0,0,0.127
2023-01-01 03:00,2023-01-01 00:00,21.906,0.018,1.165,0,0,0.093
2023-01-01 04:00,2023-01-01 01:00,21.709,0.020,1.164,0,0,0.065
2023-01-01 05:00,2023-01-01 02:00,21.528,0.016,1.164,0,0,0.057
2023-01-01 06:00,2023-01-01 03:00,21.402,0.020,1.165,0,0,0.062
2023-01-01 07:00,2023-01-01 04:00,21.295,0.023,1.165,0,0,0.061
2023-01-01 08:00,2023-01-01 05:00,21.597,0.029,1.166,44.581,100.748,0.061
2023-01-01 09:00,2023-01-01 06:00,22.736,0.044,1.166,239.327,405.326,0.065
2023-01-01 10:00,2023-01-01 07:00,23.913,0.064,1.163,463.919,702.838,0.066
2023-01-01 11:00,2023-01-01 08:00,25.301,0.081,1.158,668.169,967.119,0.082
2023-01-01 12:00,2023-01-01 09:00,26.515,0.042,1.153,817.048,1179.947,0.095
2023-01-01 13:00,2023-01-01 10:00,27.333,0.057,1.149,921.207,1327.288,0.110
2023-01-01 14:00,2023-01-01 11:00,27.679,0.078,1.147,962.073,1398.629,0.128
2023-01-01 15:00,2023-01-01 12:00,27.673,0.096,1.146,932.992,1389.397,0.154
2023-01-01 16:00,2023-01-01 13:00,27.373,0.118,1.146,838.097,1299.763,0.178
2023-01-01 17:00,2023-01-01 14:00,26.974,0.177,1.147,706.211,1136.407,0.218
2023-01-01 18:00,2023-01-01 15:00,26.439,0.218,1.148,530.972,910.255,0.226
2023-01-01 19:00,2023-01-01 16:00,25.808,0.290,1.149,350.424,636.643,0.221
