# Renewables.ninja Weather (Point API) - -22.902, -43.280 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, t2m in ºC, prectotland in mm/h, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "t2m": "\u00baC", "prectotland": "mm/h", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "-22.90173", "lon": "-43.2797093", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true", "local_time": "true", "header": "true", "date_from": "2017-01-01", "date_to": "2017-12-31"}}
time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2016-12-31 22:00,26.521,0.051,1.142,0,0,0.863
2017-01-01 01:00,2016-12-31 23:00,26.247,0.061,1.144,0,0,0.838
2017-01-01 02:00,2017-01-01 00:00,25.903,0.101,1.145,0,0,0.786
2017-01-01 03:00,2017-01-01 01:00,25.593,0.168,1.146,0,0,0.756
2017-01-01 04:00,2017-01-01 02:00,25.306,0.172,1.148,0,0,0.741
2017-01-01 05:00,2017-01-01 03:00,25.041,0.144,1.149,0,0,0.730
2017-01-01 06:00,2017-01-01 04:00,24.825,0.086,1.150,0,0,0.740
2017-01-01 07:00,2017-01-01 05:00,24.626,0.025,1.151,0,0,0.736
2017-01-01 08:00,2017-01-01 06:00,24.667,0.015,1.152,19.029,100.435,0.650
2017-01-01 09:00,2017-01-01 07:00,25.323,0.012,1.152,137.560,404.951,0.562
2017-01-01 10:00,2017-01-01 08:00,26.184,0.014,1.150,302.935,702.501,0.545
2017-01-01 11:00,2017-01-01 09:00,27.514,0.011,1.146,519.616,966.718,0.485
2017-01-01 12:00,2017-01-01 10:00,28.885,0.006,1.140,719.030,1179.848,0.546
2017-01-01 13:00,2017-01-01 11:00,30.309,0.006,1.134,870.028,1326.862,0.578
2017-01-01 14:00,2017-01-01 12:00,31.508,0.008,1.129,932.109,1398.228,0.716
2017-01-01 15:00,2017-01-01 13:00,32.079,0.016,1.125,882.020,1388.995,0.759
2017-01-01 16:00,2017-01-01 14:00,31.812,0.029,1.125,733.491,1299.639,0.785
2017-01-01 17:00,2017-01-01 15:00,31.063,0.045,1.127,570.074,1136.284,0.722
2017-01-01 18:00,2017-01-01 16:00,30.038,0.086,1.130,405.319,909.968,0.585
2017-01-01 19:00,2017-01-01 17:00,29.126,0.105,1.134,260.388,636.242,0.478
2017-01-01 20:00,2017-01-01 18:00,28.164,0.128,1.137,119.781,333.807,0.423
