Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%,Geo_Distance_km,Catch22_Distance,DTW_Distance,Target_Lat,Target_Lon
10 Rio de janeiro,11.445,6.724,-4.721,7.122909391719529,6.257391198833833,1087.6144230075386,-22.837643302555122,-43.30915157048124
meier -22.9017_-43.2797,12.625,12.763,0.138,10.487734499057964,6.408361991601402,114.83765761694296,-22.90173,-43.2797093
maracanã -22.9122_-43.2312,12.741,12.886,0.145,11.116774876305767,6.43768210854856,129.38189300175335,-22.912161949999998,-43.23118606002972
botafogo -22.9454_-43.1808,12.917,13.215,0.298,16.124178645355755,6.466249843996067,186.15448841338264,-22.945403650000003,-43.180818018208925
ipanema -22.9873_-43.2019,13.249,13.247,-0.002,19.87863659406043,6.446386523356805,223.5130289761801,-22.9873023,-43.2018710463854
copacabana -22.9864_-43.1872,13.207,13.269,0.063,20.173646435495897,6.446755371345976,231.9202967022627,-22.98642585,-43.18716059569638
jacarepagua -22.9532_-43.3716,13.127,12.737,-0.39,20.27552957289675,6.415848166557148,213.58147974308395,-22.9531726,-43.3715825
barra da tijuca -23.0114_-43.3218,13.545,13.138,-0.407,23.425115955496565,6.398459484656663,254.30410587797726,-23.0114386,-43.3217887
bangu -22.8753_-43.4649,12.337,12.478,0.141,23.57292536890876,6.361854996903478,210.02878797224383,-22.8753053,-43.4648805
marambaia -23.0626_-43.8556,12.27,12.431,0.16,68.40733430334632,6.445925583385105,555.5201746639909,-23.0626014,-43.8555722
9 vicosa,11.212,10.939,-0.273,232.0200160609701,6.241199726621186,1087.2791616142329,-20.7538586,-42.8815888
8 gov valadares,10.788,10.426,-0.363,458.75467809974026,6.670531996641066,1108.06540434105,-18.8698882,-41.9459383
7 jequitai,10.918,11.935,1.017,662.3357795992301,6.640550608189065,1216.0504638522536,-16.945401951684016,-44.33608276215471
6 manga,8.802,10.983,2.181,899.2423455830708,6.935588944073839,1225.5038498604963,-14.7528035,-43.9417044
5 santa maria da vitoria,9.339,10.65,1.311,1052.6227515262149,6.674085533878768,1258.27232952937,-13.3901477,-44.2013167
4 caripare,10.665,12.859,2.194,1276.0294856429387,6.014650549687114,1286.50737979838,-11.543937861855426,-45.51839429990687
3 Redencao do Gurgueia,10.82,11.299,0.479,1482.8684057188864,6.173340561794531,1234.7237121604212,-9.52435295,-44.41434693094406
2 nova brasilia urucui,13.878,16.3,2.423,1709.3140540099516,6.189428048324614,1170.31036986573,-7.482138661877258,-44.41686459661807
1 sao domingos,15.114,18.829,3.715,1920.1204296655492,6.590819787528362,1144.531601136462,-5.5799743,-44.3841617
0 gera maranhao,15.708,19.385,3.677,2144.8180779424056,6.382431932594725,1183.0676864686102,-3.56607,-44.55707
