time,local_time,electricity,wind_speed
2018-01-01 00:00,2017-12-31 21:00,0.106,5.131
2018-01-01 01:00,2017-12-31 22:00,0.131,5.487
2018-01-01 02:00,2017-12-31 23:00,0.14,5.607
2018-01-01 03:00,2018-01-01 00:00,0.137,5.563
2018-01-01 04:00,2018-01-01 01:00,0.119,5.314
2018-01-01 05:00,2018-01-01 02:00,0.095,4.963
2018-01-01 06:00,2018-01-01 03:00,0.069,4.502
2018-01-01 07:00,2018-01-01 04:00,0.044,3.989
2018-01-01 08:00,2018-01-01 05:00,0.027,3.52
2018-01-01 09:00,2018-01-01 06:00,0.01,2.826
2018-01-01 10:00,2018-01-01 07:00,0.018,3.196
2018-01-01 11:00,2018-01-01 08:00,0.008,2.728
2018-01-01 12:00,2018-01-01 09:00,0.002,2.231
2018-01-01 13:00,2018-01-01 10:00,0.002,2.223
2018-01-01 14:00,2018-01-01 11:00,0.006,2.621
2018-01-01 15:00,2018-01-01 12:00,0.019,3.235
2018-01-01 16:00,2018-01-01 13:00,0.039,3.849
2018-01-01 17:00,2018-01-01 14:00,0.068,4.495
2018-01-01 18:00,2018-01-01 15:00,0.098,5.015
2018-01-01 19:00,2018-01-01 16:00,0.122,5.36
2018-01-01 20:00,2018-01-01 17:00,0.106,5.135
2018-01-01 21:00,2018-01-01 18:00,0.077,4.652
2018-01-01 22:00,2018-01-01 19:00,0.05,4.119
2018-01-01 23:00,2018-01-01 20:00,0.032,3.668
2018-01-02 00:00,2018-01-01 21:00,0.023,3.384
2018-01-02 01:00,2018-01-01 22:00,0.013,3.01
2018-01-02 02:00,2018-01-01 23:00,0.013,3.015
2018-01-02 03:00,2018-01-02 00:00,0.031,3.631
2018-01-02 04:00,2018-01-02 01:00,0.109,5.185
2018-01-02 05:00,2018-01-02 02:00,0.133,5.519
2018-01-02 06:00,2018-01-02 03:00,0.071,4.555
2018-01-02 07:00,2018-01-02 04:00,0.054,4.209
2018-01-02 08:00,2018-01-02 05:00,0.063,4.379
2018-01-02 09:00,2018-01-02 06:00,0.036,3.778
2018-01-02 10:00,2018-01-02 07:00,0.017,3.186
2018-01-02 11:00,2018-01-02 08:00,0.015,3.087
2018-01-02 12:00,2018-01-02 09:00,0.007,2.674
2018-01-02 13:00,2018-01-02 10:00,0.002,2.171
2018-01-02 14:00,2018-01-02 11:00,0.0,1.77
2018-01-02 15:00,2018-01-02 12:00,0.003,2.35
2018-01-02 16:00,2018-01-02 13:00,0.01,2.829
2018-01-02 17:00,2018-01-02 14:00,0.018,3.21
2018-01-02 18:00,2018-01-02 15:00,0.029,3.578
2018-01-02 19:00,2018-01-02 16:00,0.037,3.79
2018-01-02 20:00,2018-01-02 17:00,0.033,3.682
2018-01-02 21:00,2018-01-02 18:00,0.021,3.311
2018-01-02 22:00,2018-01-02 19:00,0.005,2.542
2018-01-02 23:00,2018-01-02 20:00,0.002,2.206
2018-01-03 00:00,2018-01-02 21:00,0.004,2.384
2018-01-03 01:00,2018-01-02 22:00,0.016,3.109
2018-01-03 02:00,2018-01-02 23:00,0.037,3.796
2018-01-03 03:00,2018-01-03 00:00,0.05,4.119
2018-01-03 04:00,2018-01-03 01:00,0.063,4.39
2018-01-03 05:00,2018-01-03 02:00,0.078,4.682
2018-01-03 06:00,2018-01-03 03:00,0.104,5.104
2018-01-03 07:00,2018-01-03 04:00,0.132,5.503
2018-01-03 08:00,2018-01-03 05:00,0.13,5.478
2018-01-03 09:00,2018-01-03 06:00,0.093,4.928
2018-01-03 10:00,2018-01-03 07:00,0.111,5.209
2018-01-03 11:00,2018-01-03 08:00,0.154,5.777
2018-01-03 12:00,2018-01-03 09:00,0.152,5.755
2018-01-03 13:00,2018-01-03 10:00,0.112,5.228
2018-01-03 14:00,2018-01-03 11:00,0.099,5.022
2018-01-03 15:00,2018-01-03 12:00,0.109,5.18
2018-01-03 16:00,2018-01-03 13:00,0.127,5.439
