time,local_time,t2m,prectotland,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2019-12-31 21:00,23.508,0.014,1.144,0,0,0.752
2020-01-01 01:00,2019-12-31 22:00,23.115,0.016,1.146,0,0,0.796
2020-01-01 02:00,2019-12-31 23:00,22.788,0.007,1.147,0,0,0.766
2020-01-01 03:00,2020-01-01 00:00,22.399,0.004,1.149,0,0,0.695
2020-01-01 04:00,2020-01-01 01:00,22.037,0.003,1.150,0,0,0.524
2020-01-01 05:00,2020-01-01 02:00,21.716,0.003,1.151,0,0,0.669
2020-01-01 06:00,2020-01-01 03:00,21.498,0.004,1.152,0,0,0.919
2020-01-01 07:00,2020-01-01 04:00,21.397,0.005,1.153,0,0,0.939
2020-01-01 08:00,2020-01-01 05:00,21.626,0.003,1.154,35.128,100.541,0.947
2020-01-01 09:00,2020-01-01 06:00,22.701,0.001,1.152,183.820,405.106,0.948
2020-01-01 10:00,2020-01-01 07:00,24.242,0,1.146,382.395,702.546,0.947
2020-01-01 11:00,2020-01-01 08:00,26.059,0.001,1.139,576.567,966.720,0.949
2020-01-01 12:00,2020-01-01 09:00,27.644,0.010,1.132,755.018,1179.533,0.950
2020-01-01 13:00,2020-01-01 10:00,28.897,0.033,1.127,884.719,1326.792,0.940
2020-01-01 14:00,2020-01-01 11:00,29.785,0.090,1.123,965.039,1398.033,0.813
2020-01-01 15:00,2020-01-01 12:00,30.222,0.093,1.120,944.769,1388.424,0.789
2020-01-01 16:00,2020-01-01 13:00,30.493,0.105,1.118,892.548,1298.977,0.721
2020-01-01 17:00,2020-01-01 14:00,30.532,0.130,1.117,788.731,1135.424,0.690
2020-01-01 18:00,2020-01-01 15:00,30.015,0.157,1.116,606.233,909.241,0.857
2020-01-01 19:00,2020-01-01 16:00,29.183,0.154,1.118,387.468,635.539,0.933
2020-01-01 20:00,2020-01-01 17:00,27.926,0.175,1.120,152.250,333.094,0.935
2020-01-01 21:00,2020-01-01 18:00,26.118,0.080,1.124,13.307,50.580,0.939
2020-01-01 22:00,2020-01-01 19:00,25.260,0.074,1.128,0,0,0.928
2020-01-01 23:00,2020-01-01 20:00,24.698,0.056,1.132,0,0,0.905
2020-01-02 00:00,2020-01-01 21:00,24.183,0.049,1.135,0,0,0.899
2020-01-02 01:00,2020-01-01 22:00,23.844,0.034,1.137,0,0,0.908
2020-01-02 02:00,2020-01-01 23:00,23.574,0.025,1.139,0,0,0.915
2020-01-02 03:00,2020-01-02 00:00,23.366,0.019,1.139,0,0,0.915
2020-01-02 04:00,2020-01-02 01:00,23.163,0.014,1.139,0,0,0.899
2020-01-02 05:00,2020-01-02 02:00,22.960,0.006,1.140,0,0,0.861
2020-01-02 06:00,2020-01-02 03:00,22.851,0.004,1.140,0,0,0.858
2020-01-02 07:00,2020-01-02 04:00,22.813,0.005,1.141,0,0,0.895
2020-01-02 08:00,2020-01-02 05:00,22.950,0.005,1.142,19.008,99.934,0.898
2020-01-02 09:00,2020-01-02 06:00,23.776,0.005,1.142,101.022,404.497,0.908
2020-01-02 10:00,2020-01-02 07:00,24.811,0.038,1.139,222.761,702.189,0.918
2020-01-02 11:00,2020-01-02 08:00,26.252,0.113,1.135,369.092,966.470,0.914
2020-01-02 12:00,2020-01-02 09:00,27.405,0.265,1.130,457.173,1179.533,0.874
2020-01-02 13:00,2020-01-02 10:00,27.803,0.462,1.129,491.010,1326.792,0.872
2020-01-02 14:00,2020-01-02 11:00,27.571,0.864,1.129,448.742,1398.033,0.924
2020-01-02 15:00,2020-01-02 12:00,27.133,1.107,1.131,413.176,1388.424,0.884
2020-01-02 16:00,2020-01-02 13:00,26.616,1.604,1.133,381.066,1298.977,0.870
2020-01-02 17:00,2020-01-02 14:00,25.970,1.898,1.135,322.234,1135.384,0.879
2020-01-02 18:00,2020-01-02 15:00,25.120,1.745,1.139,204.792,908.971,0.908
2020-01-02 19:00,2020-01-02 16:00,24.302,1.509,1.142,113.310,635.059,0.903
2020-01-02 20:00,2020-01-02 17:00,23.626,0.932,1.145,46.394,332.371,0.902
2020-01-02 21:00,2020-01-02 18:00,23.160,0.378,1.147,4.773,50.129,0.888
2020-01-02 22:00,2020-01-02 19:00,22.949,0.155,1.148,0,0,0.869
2020-01-02 23:00,2020-01-02 20:00,22.645,0.084,1.148,0,0,0.679
2020-01-03 00:00,2020-01-02 21:00,22.408,0.078,1.149,0,0,0.456
2020-01-03 01:00,2020-01-02 22:00,22.337,0.042,1.149,0,0,0.411
2020-01-03 02:00,2020-01-02 23:00,22.260,0.030,1.149,0,0,0.498
2020-01-03 03:00,2020-01-03 00:00,22.068,0.106,1.149,0,0,0.801
2020-01-03 04:00,2020-01-03 01:00,22.046,0.040,1.148,0,0,0.948
2020-01-03 05:00,2020-01-03 02:00,22.094,0.012,1.148,0,0,0.951
2020-01-03 06:00,2020-01-03 03:00,22.127,0.005,1.149,0,0,0.951
2020-01-03 07:00,2020-01-03 04:00,22.188,0.003,1.149,0,0,0.963
2020-01-03 08:00,2020-01-03 05:00,22.453,0.003,1.150,14.956,99.290,0.956
2020-01-03 09:00,2020-01-03 06:00,23.328,0.023,1.149,85.607,403.856,0.949
2020-01-03 10:00,2020-01-03 07:00,24.511,0.080,1.146,186.506,701.689,0.949
2020-01-03 11:00,2020-01-03 08:00,24.964,0.084,1.144,310.156,966.220,0.949
2020-01-03 12:00,2020-01-03 09:00,25.368,0.061,1.143,438.187,1179.467,0.948
2020-01-03 13:00,2020-01-03 10:00,25.895,0.142,1.142,582.240,1326.792,0.893
2020-01-03 14:00,2020-01-03 11:00,26.482,0.277,1.140,762.662,1398.182,0.614
2020-01-03 15:00,2020-01-03 12:00,27.003,0.350,1.138,875.064,1388.424,0.538
2020-01-03 16:00,2020-01-03 13:00,27.160,0.341,1.136,859.876,1298.977,0.618
2020-01-03 17:00,2020-01-03 14:00,26.799,0.310,1.137,681.435,1135.318,0.754
2020-01-03 18:00,2020-01-03 15:00,26.069,0.262,1.138,460.251,908.598,0.733
2020-01-03 19:00,2020-01-03 16:00,25.301,0.218,1.141,284.935,634.559,0.680
2020-01-03 20:00,2020-01-03 17:00,24.533,0.145,1.143,119.554,331.719,0.616
2020-01-03 21:00,2020-01-03 18:00,23.644,0.068,1.146,12.591,49.628,0.502
2020-01-03 22:00,2020-01-03 19:00,23.015,0.048,1.148,0,0,0.328
2020-01-03 23:00,2020-01-03 20:00,22.633,0.090,1.150,0,0,0.346
2020-01-04 00:00,2020-01-03 21:00,22.359,0.117,1.151,0,0,0.749
2020-01-04 01:00,2020-01-03 22:00,22.250,0.203,1.151,0,0,0.855
2020-01-04 02:00,2020-01-03 23:00,22.186,0.334,1.150,0,0,0.849
2020-01-04 03:00,2020-01-04 00:00,22.111,0.420,1.150,0,0,0.828
2020-01-04 04:00,2020-01-04 01:00,22.059,0.486,1.150,0,0,0.801
2020-01-04 05:00,2020-01-04 02:00,21.955,0.271,1.150,0,0,0.812
