Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%
0 gera maranhao,13.167,16.303,3.136
1 sao domingos,11.852,14.18,2.328
10 Rio de janeiro,12.586,12.496,-0.09
2 nova brasilia urucui,11.218,12.72,1.502
3 Redencao do Gurgueia,9.895,11.238,1.343
4 caripare,10.555,13.671,3.116
5 santa maria da vitoria,8.057,12.313,4.256
6 manga,9.688,10.957,1.269
7 jequitai,11.031,12.443,1.412
8 gov valadares,10.729,10.856,0.126
9 vicosa,12.172,11.64,-0.533
bangu -22.8753_-43.4649,12.566,12.466,-0.1
barra da tijuca -23.0114_-43.3218,13.356,13.08,-0.276
botafogo -22.9454_-43.1808,12.77,13.036,0.265
copacabana -22.9864_-43.1872,13.068,13.167,0.098
ipanema -22.9873_-43.2019,12.918,13.127,0.209
jacarepagua -22.9532_-43.3716,12.743,12.683,-0.061
maracanã -22.9122_-43.2312,12.796,12.66,-0.136
marambaia -23.0626_-43.8556,12.683,12.652,-0.031
meier -22.9017_-43.2797,12.652,12.696,0.044
