Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%,Geo_Distance_km,Catch22_Distance,DTW_Distance,Target_Lat,Target_Lon
10 Rio de janeiro,12.272,12.427,0.156,7.122909391719529,6.361965826268034,83.186868001065,-22.837643302555122,-43.30915157048124
meier -22.9017_-43.2797,12.642,12.676,0.034,10.487734499057964,6.355968315085709,158.15517164510968,-22.90173,-43.2797093
maracanã -22.9122_-43.2312,12.931,12.819,-0.112,11.116774876305767,6.575879812314468,1353.676280657176,-22.912161949999998,-43.23118606002972
botafogo -22.9454_-43.1808,12.873,12.962,0.089,16.124178645355755,6.367786799168416,235.95063431743023,-22.945403650000003,-43.180818018208925
ipanema -22.9873_-43.2019,12.811,13.074,0.263,19.87863659406043,6.386151663844519,293.4985593089684,-22.9873023,-43.2018710463854
copacabana -22.9864_-43.1872,13.017,13.077,0.06,20.173646435495897,6.379248359753241,299.1837624500067,-22.98642585,-43.18716059569638
jacarepagua -22.9532_-43.3716,13.182,12.762,-0.42,20.27552957289675,6.3339634565648035,293.32019630920513,-22.9531726,-43.3715825
barra da tijuca -23.0114_-43.3218,13.497,13.013,-0.484,23.425115955496565,6.341030202259047,346.7192134525024,-23.0114386,-43.3217887
bangu -22.8753_-43.4649,12.761,12.483,-0.278,23.57292536890876,6.360714348095254,283.2416464700368,-22.8753053,-43.4648805
marambaia -23.0626_-43.8556,12.768,12.459,-0.309,68.40733430334632,6.453178650456843,725.399448877693,-23.0626014,-43.8555722
9 vicosa,12.193,11.363,-0.829,232.0200160609701,6.3149815215668195,1381.1521785439202,-20.7538586,-42.8815888
8 gov valadares,10.676,10.894,0.218,458.75467809974026,6.71036645194517,1481.0392985629599,-18.8698882,-41.9459383
7 jequitai,10.791,12.352,1.562,662.3357795992301,6.644409064593875,1572.3251385859774,-16.945401951684016,-44.33608276215471
6 manga,8.854,11.164,2.31,899.2423455830708,6.6887988469880675,1618.72390910863,-14.7528035,-43.9417044
5 santa maria da vitoria,7.598,12.513,4.915,1052.6227515262149,6.564639415994372,1621.542737192458,-13.3901477,-44.2013167
4 caripare,10.217,13.811,3.594,1276.0294856429387,6.225298382703589,1622.7016704577222,-11.543937861855426,-45.51839429990687
3 Redencao do Gurgueia,9.784,11.16,1.376,1482.8684057188864,6.305102620089771,1562.7475068094395,-9.52435295,-44.41434693094406
2 nova brasilia urucui,10.769,12.295,1.526,1709.3140540099516,6.286034869284784,1550.8018222501128,-7.482138661877258,-44.41686459661807
1 sao domingos,12.935,13.537,0.602,1920.1204296655492,6.553614630332193,1504.2277353455356,-5.5799743,-44.3841617
0 gera maranhao,13.078,15.795,2.717,2144.8180779424056,6.515714379057185,1570.9671392482553,-3.56607,-44.55707
